timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2021-09-19 15:42:56,b'@Trump @MarALago @TrumpBedminster @MSNBC @CNN @FoxNews @SenateDems @SenateGOP @HouseDemocrats @HouseGOP @BBC @ABC @CBS @nytimes @GovKathyHochul @WhiteHouse \xe2\x80\xa2Recordation provides the owner with protection this is called: \xe3\x80\x8aConstructive Notice\xe3\x80\x8b \xe2\x80\xa2Chapter 8 \xe2\x80\xa2Title Closing &amp; Costs',b'William05117610',[],,0,0,0
2021-09-19 15:36:27,b'@Trump @MarALago @TrumpBedminster @DonaldJTrumpJr @CNN @FoxNews @MSNBC @SenateDems @SenateGOP @HouseDemocrats @HouseGOP @BBC @ABC @CBS @nytimes @GovKathyHochul @WhiteHouse \xe2\x80\xa2The lien that has priority over all others is: \xe3\x80\x8aReal Property Tax Lien\xe3\x80\x8b \xe2\x80\xa2Chapter 4 \xe2\x80\xa2Liens &amp; Easements',b'William05117610',[],,0,0,0
2021-09-19 15:32:06,b'@Trump @MarALago @TrumpBedminster @MSNBC @CNN @FoxNews @SenateDems @SenateGOP @HouseDemocrats @HouseGOP @BBCWorld @ABC @CBS @nytimes @GovKathyHochul @WhiteHouse \xe2\x80\xa2The market that buys &amp; sells mortgages to keep it liquid is: \xe3\x80\x8aSecondary Market\xe3\x80\x8b \xe2\x80\xa2Chapter 9 \xe2\x80\xa2Real Estate Finance',b'William05117610',[],,0,0,0
2021-09-19 15:27:12,b'@Trump @MarALago @TrumpBedminster @MSNBC @CNN @FoxNews @SenateDems @SenateGOP @HouseDemocrats @HouseGOP @BBCWorld @ABC @CBS @nytimes @GovKathyHochul @WhiteHouse \xe2\x80\xa2The market that buys &amp; sells mortgages to keep it liquid is:  \xe3\x80\x8aSecondary Market\xe3\x80\x8b \xe2\x80\xa2Chapter 9 \xe2\x80\xa2Real Estate Finance',b'William05117610',[],,0,0,0
2021-09-19 15:23:24,b'@DonaldJTrumpJr @IvankaTrump @MELANIATRUMP @EricTrump @IvankaTrump @Trump @LaraLeaTrump @TiffanyATrump #INGODWETRUST yeah LITTLE MI.',b'KILLORANGEROYA1',['INGODWETRUST'],,60,0,0
2021-09-19 14:15:47,b'YOU ARE TOO NICE - FUK THOSE WHO FUKING HATE OUR COUNTRY... WE WOULD FUKKKINNNG NEVER LEAVE ANNNNTYOOOOOOOONE BEHINE UNDER THE GREATEST PRESIDENT OF MY LIFETIME.................................@MAGA @TRUMP I WANT MY PRESIDENT ---------------NOWWWWWWWWW https://t.co/EAaDXz34YR',b'MAGA17760397',[],United States,864,0,0
2021-09-19 14:02:40,"b'@Casper324B @dguilford @RayDuryea @douglaskarr @Jim_Jordan @Trump No, you\xe2\x80\x99re focusing on the survival rate. You really need to speak to someone involved in healthcare.  The hospitals are packed and there is an acute shortage of ICU beds.   The mortality rate closer to 2% and there are also many people suffering long term, debilitating affects.'",b'DoggyMichael',[],"Ohio, USA",44,0,1
2021-09-19 13:49:36,b'@Casper324B @DoggyMichael @dguilford @RayDuryea @Jim_Jordan @Trump Biden\xe2\x80\x99s plan of opening Southern borders to hundreds of thousands of unvaxxed immigrants is quite amazing. \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',b'douglaskarr',[],"Indianapolis, IN",38048,0,1
2021-09-19 13:29:21,"b""Each time you tweet, @DonaldJTrumpJr, I remind you @Trump @EricTrump @JaredKushner @IvankaTrump you're treasonous grifting criminal Russian mob tools, traitors to US, we will seek justice &amp; accountability \xf0\x9f\x91\x80 #TrumpTaxes #TrumpRussia #TrumpSedition #TrumpFascism cc @January6thCmte""",b'HolleyA',"['TrumpTaxes', 'TrumpRussia', 'TrumpSedition', 'TrumpFascism']","Brooklyn, NY",3961,0,0
2021-09-19 13:07:09,"b""@DonaldJTrumpJr And how many illegal aliens are working for @Trump as maids and ground workers? Maybe if you daddy pushed for a law that would of fined company 1 million dollars per illegal hired we wouldn't have this problem.""",b'jd031185',[],,19,0,0
2021-09-19 12:05:54,b'@Casper324B @dguilford @RayDuryea @douglaskarr @Jim_Jordan @Trump What is coming true?  Did it disappear?',b'DoggyMichael',[],"Ohio, USA",44,0,1
2021-09-19 11:37:46,"b""@RepMattGaetz @mtgreenee 9/12/2020 Here\xe2\x80\x99s @mikepompeo confirming the sale of #Afghanistan, sorry \xe2\x80\x98understanding\xe2\x80\x99,  to it\xe2\x80\x99s new owner, with a lot of help from @Trump of course.  @Trump knew al-Qaeda were integrated into the Taliban at the end of his 'reign'   Follow the facts   https://t.co/rYy6CQktMM https://t.co/M07fAB2iMg""",b'KevinEn19473152',['Afghanistan'],Lichfield England,634,0,0
